x,y,cw,cbh,ht,output,id
620,245.1,4.2,6.1,14.3,.TRUE.,TREE403
620,132.8,6.5,9,21.6,.TRUE.,TREE404
620.1,162.6,1.5,2.9,5.9,.TRUE.,TREE405
620.1,294.2,5.7,6.4,19.2,.TRUE.,TREE406
620.1,107.7,3.8,8.9,16.9,.TRUE.,TREE407
620.2,177.8,4.2,9.3,18.4,.TRUE.,TREE408
620.2,267.8,4.2,6.1,14.3,.TRUE.,TREE409
620.2,287.9,4.4,8,15.2,.TRUE.,TREE410
620.3,120.3,8.8,7.1,17.4,.TRUE.,TREE411
620.4,258.1,3.4,5.1,11.8,.TRUE.,TREE412
620.5,264,1.9,3.4,7.3,.TRUE.,TREE413
620.6,233.4,5.2,7.4,17.6,.TRUE.,TREE414
620.6,265.9,1.8,3.2,6.9,.TRUE.,TREE415
620.7,261.2,2.6,4.2,9.3,.TRUE.,TREE416
620.8,163.2,2.2,4.8,9.8,.TRUE.,TREE417
620.9,258.3,3.8,5.6,13.1,.TRUE.,TREE418
620.9,123.2,3.3,5,11.5,.TRUE.,TREE419
621.1,283.6,1.9,2.8,8.2,.TRUE.,TREE420
621.2,246.1,4,6,13.9,.TRUE.,TREE421
621.3,299.1,3.4,1.8,17.9,.TRUE.,TREE422
621.4,283.7,1.8,3.2,6.9,.TRUE.,TREE423
621.4,280.4,3.4,5.2,12,.TRUE.,TREE424
621.5,171.4,1.5,2.8,5.9,.TRUE.,TREE425
621.6,271.9,2.3,3.9,8.5,.TRUE.,TREE426
621.7,229.6,2.4,5,10.6,.TRUE.,TREE427
621.7,270.1,1.9,1.7,7.2,.TRUE.,TREE428
621.7,227.9,2,3.5,7.7,.TRUE.,TREE429
621.8,229.5,2.9,4.8,11.1,.TRUE.,TREE430
621.8,227.5,1.5,2.9,6,.TRUE.,TREE431
621.8,262.2,1.9,3.4,7.3,.TRUE.,TREE432
622,234.8,3.1,4.8,11,.TRUE.,TREE433
622.1,244.9,3.9,5.8,13.5,.TRUE.,TREE434
622.1,207.6,4.2,6.2,14.5,.TRUE.,TREE435
622.1,214,3.3,3.4,11.5,.TRUE.,TREE436
622.2,124.8,1.8,1.8,4.3,.TRUE.,TREE437
622.2,240.6,3.6,5.5,12.6,.TRUE.,TREE438
622.3,251.1,1.9,3.4,7.3,.TRUE.,TREE439
622.3,163.3,3.1,4.8,11,.TRUE.,TREE440
622.4,221.4,1.6,3,6.4,.TRUE.,TREE441
622.5,106.3,4.4,6.4,15.1,.TRUE.,TREE442
622.5,297.5,3.1,4.8,11,.TRUE.,TREE443
622.7,120.3,9,8.8,19.4,.TRUE.,TREE444
622.8,267.8,1.5,2.9,6,.TRUE.,TREE445
622.8,107.6,0.6,1.5,5.8,.TRUE.,TREE446
622.8,162.7,4,6,13.9,.TRUE.,TREE447
622.9,104.8,4.4,6.4,15,.TRUE.,TREE448
622.9,128.1,4.3,6.3,14.7,.TRUE.,TREE449
623,263.9,1.9,3.4,7.3,.TRUE.,TREE450
623,177.1,3.5,8.8,15.2,.TRUE.,TREE451
